COD_PROC_URG|TITULO
59.94|SUSTITUCION DE TUBO DE CISTOSTOMIA
59.95|FRAGMENTACION POR ULTRASONIDO DE CALCULOS URINARIOS
59.99|OTRA OPERACION SOBRE APARAT URINARIO NCOC
60|OPERACIONES SOBRE PROSTATA Y VESICULAS SEMINALES
60.0|INCISION DE PROSTATA
60.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE PROSTATA Y VESICULAS SEMIN
60.11|BIOPSIA CERRADA (POR AGUJA) (PERCUTANEA) DE PROSTATA
60.12|BIOPSIA ABIERTA DE PROSTATA
60.13|BIOPSIA CERRADA PERCUTANEA DE VESICULAS SEMINALES
60.14|BIOPSIA ABIERTA DE VESICULAS SEMINALES
60.15|BIOPSIA DE TEJIDO PERIPROSTATICO
60.18|OTROS PROC.DIAGN. SOBRE PROSTATA Y TEJIDO PERIPROSTATICO
60.19|OTROS PROC.DIAGN. SOBRE VESICULAS SEMINALES
60.2|PROSTATECTOMIA TRANSURETRAL
60.21|PROSTATECTOMIA TRANSURETRAL GUIADO POR LASER INDUCIDO
60.29|OTRA PROSTATECTOMIA TRANSURETRAL
60.3|PROSTATECTOMIA SUPRAPUBICA
60.4|PROSTATECTOMIA RETROPUBICA
60.5|PROSTATECTOMIA RADICAL
60.6|OTRA PROSTATECTOMIA
60.61|EXCISION LOCAL DE LESION DE PROSTATA
60.62|PROSTATECTOMIA PERINEAL
60.69|OTRA PROSTATECTOMIA NCOC
60.7|OPERACIONES SOBRE VESICULAS SEMINALES
60.71|ASPIRACION PERCUTANEA DE VESICULAS SEMINALES
60.72|INCISION DE VESICULA SEMINAL
60.73|EXCISION DE VESICULA SEMINAL
60.79|OTRAS OPERACIONES SOBRE VESICULAS SEMINALES
60.8|INCISION O EXCISION DE TEJIDO PERIPROSTATICO
60.81|INCISION DE TEJIDO PERIPROSTATICO
60.82|EXCISION DE TEJIDO PERIPROSTATICO
60.9|OTRAS OPERACIONES SOBRE PROSTATA
60.91|ASPIRACION PERCUTANEA DE PROSTATA
60.92|INYECCION EN PROSTATA
60.93|REPARACION DE PROSTATA
60.94|CONTROL DE HEMORRAGIA POSOPERATORIA DE PROSTATA
60.95|DILATACION TRANSURETRAL POR BALON DE URETRA PROSTATICA
60.99|OTRA OPERACION SOBRE PROSTATA NCOC
61|OPERACIONES SOBRE ESCROTO Y TUNICA VAGINAL
61.0|INCISION Y DRENAJE DE ESCROTO Y TUNICA VAGINAL
61.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE ESCROTO Y TUNICA VAGINAL
61.11|BIOPSIA DE ESCROTO O TUNICA VAGINAL
61.19|OTROS PROC.DIAGN. SOBRE ESCROTO Y TUNICA VAGINAL
61.2|EXCISION DE HIDROCELE (DE TUNICA VAGINAL)
61.3|EXCISION O DESTRUCCION DE LESION O TEJIDO DE ESCROTO
61.4|REPARACION DE ESCROTO Y TUNICA VAGINAL
61.41|SUTURA DE LACERACION DE ESCROTO Y TUNICA VAGINAL
61.42|REPARACION DE FISTULA ESCROTAL
61.49|OTRA REPARACION DE ESCROTO Y TUNICA VAGINAL
61.9|OTRAS OPERACIONES SOBRE ESCROTO Y TUNICA VAGINAL
61.91|ASPIRACION PERCUTANEA DE TUNICA VAGINAL
61.92|EXCISION DE LESION DE TUNICA VAGINAL SALVO HIDROCELE
61.99|OTRA OPERACION SOBRE ESCROTO Y TUNICA VAGINAL NCOC
62|OPERACIONES SOBRE TESTICULOS
62.0|INCISION DE TESTICULO
62.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE TESTICULOS
62.11|BIOPSIA CERRADA (PERCUTANEA) (POR AGUJA) DE TESTICULO
62.12|BIOPSIA ABIERTA DE TESTICULO
62.19|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE TESTICULOS
62.2|EXCISION O DESTRUCCION DE LESION TESTICULAR
62.3|ORQUIECTOMIA UNILATERAL
62.4|ORQUIECTOMIA BILATERAL
62.41|EXTIRPACION DE AMBOS TESTICULOS EN EL MISMO EPISODIO OPERATO
62.42|EXTIRPACION DE TESTICULO RESTANTE
62.5|ORQUIDOPEXIA
62.6|REPARACION DE TESTICULOS
62.61|SUTURA DE LACERACION DE TESTICULO
62.69|OTRA REPARACION DE TESTICULO
62.7|INSERCION DE PROTESIS TESTICULAR
62.9|OTRAS OPERACIONES SOBRE TESTICULO
62.91|ASPIRACION DE TESTICULO
62.92|INYECCION DE SUSTANCIA TERAPEUTICA EN TESTICULO
62.99|OTRA OPERACION SOBRE TESTICULO NCOC
63|OPERACIONES SOBRE CORDON ESPERMATICO,EPIDIDIMO Y C.DEFERENTE
63.0|PROC.DIAGNOSTICOS SOBRE CORDON ESPERMATICO,EPIDIDIMO,C.DEFER
63.01|BIOPSIA DE CORDON ESPERMATICO, EPIDIDIMO O CONDUCTO DEFERENT
63.09|OTROS PROC.DIG. SOBRE CORDON ESPERMATICO,EPIDIDIMO Y COND.D.
63.1|EXCISION DE VARICOCELE E HIDROCELE DE CORDON ESPERMATICO
63.2|EXCISION DE QUISTE DE EPIDIDIMO
63.3|EXCISION OTRA LESION O TEJIDO DE CORDON ESPERMATICO Y EPIDID
63.4|EPIDIDIMECTOMIA
63.5|REPARACION DE CORDON ESPERMATICO Y EPIDIDIMO
63.51|SUTURA DE LACERACION DE CORDON ESPERMATICO Y EPIDIDIMO
63.52|REDUCCION DE TORSION DE TESTICULO O CORDON ESPERMATICO
63.53|TRASPLANTE DE CORDON ESPERMATICO
63.59|OTRA REPARACION DE CORDON ESPERMATICO Y EPIDIDIMO
63.6|VASOTOMIA
63.7|VASECTOMIA Y LIGADURA DEL CONDUCTO DEFERENTE
63.70|PROCEDIMIENTO DE ESTERILIZACION MASCULINA, N. E. O. M.
63.71|LIGADURA DE CONDUCTO DEFERENTE
63.72|LIGADURA DE CORDON ESPERMATICO
63.73|VASECTOMIA
63.8|REPARACION DE CONDUCTO DEFERENTE Y EPIDIDIMO
63.81|SUTURA DE LACERACION DE CONDUCTO DEFERENTE Y EPIDIDIMO
63.82|RECONSTRUCCION DE CONDUCTO DEFERENTE DIVIDIDO QUIRURGICAMENT
63.83|EPIDIDIMOVASOSTOMIA
63.84|RETIRADA DE LIGADURA DE CONDUCTO DEFERENTE
63.85|EXTRACCION DE VALVULA DE CONDUCTO DEFERENTE
63.89|OTRA REPARACION DE CONDUCTO DEFERENTE Y EPIDIDIMO
63.9|OTRAS OPERACIONES S/CORDON ESPERMATICO, EPIDIDIMO Y C. DEFER
63.91|ASPIRACION DE ESPERMATOCELE
63.92|EPIDIDIMOTOMIA
63.93|INCISION DE CORDON ESPERMATICO
63.94|LISIS DE ADHERENCIAS DE CORDON ESPERMATICO
63.95|INSERCION DE VALVULA EN VASO DEFERENTE
63.99|OTRA OPER. SOBRE C.ESPERMATICO, EPIDIDIMO Y C. DEFEREN. NCOC
64|OPERACIONES SOBRE EL PENE
64.0|CIRCUNCISION
64.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE EL PENE
64.11|BIOPSIA DE PENE
64.19|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE EL PENE
64.2|EXCISION LOCAL O DESTRUCCION DE LESION DE PENE
64.3|AMPUTACION DE PENE
64.4|OPERACION DE REPARACION Y PLASTICA SOBRE PENE
64.41|SUTURA DE LACERACION DE PENE
64.42|LIBERACION DE
64.43|CONSTRUCCION DE PENE
64.44|RECONSTRUCCION DE PENE
64.45|REIMPLANTACION DE PENE
64.49|OTRA REPARACION DE PENE
64.5|OPERACIONES PARA TRANSFORMACION DE SEXO, [NCOC]
64.9|OTRAS OPERACIONES SOBRE ORGANOS GENITALES MASCULINOS
64.91|CORTE DORSAL O LATERAL DE PREPUCIO
64.92|INCISION DE PENE
64.93|DIVISION DE ADHERENCIAS DE PENE
64.94|COLOCACION DE PROTESIS EXTERNA DE PENE
64.95|INSERCION O SUSTITUCION DE PROTESIS DE PENE NO INFLABLE
64.96|EXTRACCION DE PROTESIS INTERNA DE PENE
64.97|INSERCION O SUSTITUCION DE PROTESIS DE PENE INFLABLE
64.98|OTRAS OPERACIONES SOBRE EL PENE
64.99|OTRA OPERACION SOBRE ORGANOS GENITALES MASCULINOS NCOC
65|OPERACIONES SOBRE OVARIO
65.0|OOFOROTOMIA
65.01|OOFOROTOMIA LAPAROSCOPICA
65.09|OTRA OOFOROTOMIA
65.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE OVARIOS
65.11|BIOPSIA POR ASPIRACION DE OVARIO
65.12|OTRA BIOPSIA DE OVARIO
65.13|BIOPSIA LAPAROSCOPICA DE OVARIO
65.14|OTRO PROC. DIAGNOSTICO LAPAROSCOPICO DE OVARIO
65.19|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE OVARIOS
65.2|EXCISION LOCAL O DESTRUCCION DE LESION O TEJIDO DE OVARIO
65.21|MARSUPIALIZACION DE QUISTE OVARICO
65.22|RESECCION EN CUÐA DE OVARIO
65.23|MARSUPIALIZACION LAPAROSCOPICA DE QUISTE OVARICO
65.24|RESECCION EN CUðA LAPAROSCOPICA DE OVARIO
65.25|OTRA EXCISION LOCAL O DESTRUCCION LAPAROSCOPICA DE OVARIO
65.29|OTRA EXCISION LOCAL O DESTRUCCION DE OVARIO
65.3|OOFORECTOMIA UNILATERAL
65.31|OOFORECTOMIA UNILATERAL LAPAROSCOPICA
65.39|OTRA OOFORECTOMIA UNILATERAL
65.4|SALPINGO-OOFORECTOMIA UNILATERAL
65.41|SALPINGOOFORECTOMIA UNILATERAL LAPAROSCOPICA
65.49|OTRA SALPINGOOFORECTOMIA UNILATERAL
65.5|OOFORECTOMIA BILATERAL
65.51|EXTIRPACION DE AMBOS OVARIOS EN UN MISMO TIEMPO OPERATORIO
65.52|EXTIRPACION DE OVARIO RESTANTE
65.53|EXTIRPACION LAPAROSCOPICA DE AMBOS OVARIOS EN UN MISMO ACTO
65.54|EXTIRPACION LAPAROSCOPICA DE OVARIO RESTANTE
65.6|SALPINGO-OOFORECTOMIA BILATERAL
65.61|EXTIRP. DE AMBOS OVARIOS Y TROMPAS EN UN MISMO TIEMPO OPERAT
65.62|EXTIRPACION DE OVARIO Y TROMPA RESTANTES
65.63|EXTIRPACION LAPAROSCOPICA DE AMBOS OVARIOS Y TROMPAS EN UN M
65.64|EXTIRPACION LAPAROSCOPICA DE OVARIO Y TROMPAS RESTANTES
65.7|REPARACION DE OVARIO
65.71|SUTURA SIMPLE DE OVARIO
65.72|REIMPLANTACION DE OVARIO
65.73|SALPINGOOFOROPLASTIA
65.74|SUTURA SIMPLE LAPAROSCOPICA DE OVARIO
65.75|REIMPLANTACION LAPAROSCOPICA DE OVARIO
65.76|SALPINGOOFOROPLASTIA LAPAROSCOPICA
65.79|OTRA REPARACION DE OVARIO
65.8|LISIS DE ADHERENCIAS DE OVARIO Y TROMPA DE FALOPIO
65.81|LIBERACION LAPAROSCOPICA DE ADHERENCIAS DE OVARIO Y TROMPA D
65.89|OTRA LIBERACION DE ADHERENCIAS DE OVARIO Y TROMPA DE FALOPIO
65.9|OTRAS OPERACIONES SOBRE OVARIO
65.91|ASPIRACION DE OVARIO
65.92|TRASPLANTE DE OVARIO
65.93|RUPTURA MANUAL DE QUISTE OVARICO
65.94|DENERVACION OVARICA
65.95|LIBERACION DE TORSION DE OVARIO
65.99|OTRA OPERACION SOBRE OVARIO NCOC
66|OPERACIONES SOBRE TROMPA DE FALOPIO
66.0|SALPINGOTOMIA Y SALPINGOSTOMIA
66.01|SALPINGOTOMIA
66.02|SALPINGOSTOMIA
66.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE TROMPAS DE FALOPIO
66.11|BIOPSIA DE TROMPA DE FALOPIO
66.19|OTROS PROC.DIAGN. SOBRE TROMPAS DE FALOPIO
66.2|DESTRUCCION U OCLUSION ENDOSCOPICA BILATERAL TROMPA DE FALOP
66.21|LIGADURA Y APLASTAMIENTO ENDOSCOPICO BILATERALES DE T.DE FAL
66.22|LIGADURA Y SECCION ENDOSCOPICA BILATERALES DE TROMPAS DE FAL
66.29|OTRA DESTRUCCION U OCLUSION ENDOSCOPICA BILAT. DE T. DE FALO
66.3|OTRA DESTRUCCION U OCLUSION BILATERAL DE TROMPA DE FALOPIO
66.31|OTRA LIGADURA Y APLASTAMIENTO BILATERAL DE TROMPAS DE FALOPI
66.32|OTRA LIGADURA Y SECCION BILATERAL DE TROMPAS DE FALOPIO
66.39|OTRA DESTRUCCION U OCLUSION BILATERAL DE TROMPAS DE FALOPIO
66.4|SALPINGUECTOMIA UNILATERAL TOTAL
66.5|SALPINGUECTOMIA BILATERAL TOTAL
66.51|EXTIRP. DE AMBAS T. DE FALOPIO EN UN MISMO TIEMPO OPERATORIO
66.52|EXTIRPACION DE TROMPA DE FALOPIO RESTANTE
66.6|OTRA SALPINGUECTOMIA
66.61|EXCISION O DESTRUCCION DE LESION DE TROMPA DE FALOPIO
66.62|SALPINGECTOMIA CON EXTRACCION DE EMBARAZO TUBARICO
66.63|SALPINGECTOMIA PARCIAL BILATERAL, N. E . O. M.
66.69|OTRA SALPINGECTOMIA PARCIAL
66.7|REPARACION DE TROMPA DE FALOPIO
66.71|SUTURA SIMPLE DE TROMPA DE FALOPIO
66.72|SALPINGOOFOROSTOMIA
66.73|SALPINGOSALPINGOSTOMIA
66.74|SALPINGOUTEROSTOMIA
66.79|OTRA REPARACION DE TROMPA DE FALOPIO
66.8|INSUFLACION DE TROMPA DE FALOPIO
66.9|OTRAS OPERACIONES SOBRE TROMPAS DE FALOPIO
66.91|ASPIRACION DE TROMPA DE FALOPIO
66.92|DESTRUCCION U OCLUSION UNILATERAL DE TROMPA DE FALOPIO
66.93|IMPLANTACION O SUSTITUCION DE PROTESIS DE TROMPA DE FALOPIO
66.94|EXTRACCION DE PROTESIS DE TROMPA DE FALOPIO
66.95|INSUFLACION DE AGENTE TERAPEUTICO EN TROMPAS DE FALOPIO
66.96|DILATACION DE TROMPAS DE FALOPIO
66.97|ENTERRAMIENTO DE FIMBRIAS EN LA PARED UETERINA
66.99|OTRA OPERACION SOBRE TROMPA DE FALOPIO NCOC
67|OPERACIONES SOBRE CUELLO UTERINO
67.0|DILATACION DE CANAL CERVICAL
67.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE CUELLO UTERINO
67.11|BIOPSIA ENDOCERVICAL
67.12|OTRA BIOPSIA CERVICAL
67.19|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE CUELLO UTERINO
67.2|CONIZACION DE CUELLO UTERINO
67.3|OTRA EXCISION O DESTRUCCION DE LESION O TEJIDO DE CUELLO UTE
67.31|MARSUPIALIZACION DE QUISTE CERVICAL
67.32|DESTRUCCION DE LESION DE CUELLO UTERINO POR CAUTERIZACION
67.33|DESTRUCCION DE LESION DE CUELLO UTERINO POR CRIOCIRUGIA
67.39|OTRA EXCISION O DESTRUCCION DE LESION O TEJIDO DE CUELLO UTE
67.4|AMPUTACION DE CUELLO UTERINO
67.5|REPARACION DE ORIFICIO CERVICAL INTERNO
67.51|CERCLAJE DE CÉRVIX TRANSABDOMINAL
67.59|OTRA REPACIÓN DE ORIFICIO CERVICAL INTERNO
67.6|OTRA REPARACION DE CUELLO UTERINO
67.61|SUTURA DE DESGERRO DE CUELLO UTERINO
67.62|REPARACION DE FISTULA DE CUELLO UTERINO
67.69|OTRA REPARACION DE CUELLO UTERINO
68|OTRA INCISION Y EXCISION DE UTERO
68.0|HISTEROTOMIA
68.1|PROCEDIM. DIAGNOSTICOS SOBRE UTERO Y ESTRUCTURAS DE SOPORTE
68.11|EXAMEN DIGITAL DE UTERO
68.12|HISTEROSCOPIA
68.13|BIOPSIA UTERINA ABIERTA
68.14|BIOPSIA ABIERTA DE LIGAMENTOS UTERINOS
68.15|BIOPSIA CERRADA DE LIGAMENTOS UTERINOS
68.16|BIOPSIA CERRADA DE UTERO
68.19|OTROS PROC.DIAGN. SOBRE EL UTERO Y ESTRUCTURAS DE SOPORTE
68.2|EXCISION O DESTRUCCION DE LESION O TEJIDO DE UTERO
68.21|SECCION DE SINEQUIAS ENDOMETRIALES
68.22|INCISION O EXCISION DE TABIQUE CONGENITO DE UTERO
68.23|ABLACION ENDOMETRIAL
68.29|OTRA EXCISION O DESTRUCCION DE LESION DE UTERO
68.3|HISTERECTOMIA SUBTOTAL ABDOMINAL
68.4|HISTERECTOMIA ABDOMINAL TOTAL
68.5|HISTERECTOMIA VAGINAL
68.51|HISTERECTOMIA VAGINAL ASISTIDA POR LAPAROSCOPIA (LAVH)
68.59|OTRA HISTERECTOMIA VAGINAL
68.6|HISTERECTOMIA ABDOMINAL RADICAL
68.7|HISTERECTOMIA VAGINAL RADICAL
68.8|EXENTERACION PELVICA
68.9|OTRAS HISTERECTOMIAS Y LAS NO ESPECIFICADAS
69|OTRAS OPERACIONES SOBRE UTERO Y ESTRUCTURAS DE SOPORTE
69.0|DILATACION Y LEGRADO DE UTERO
69.01|DILATACION Y LEGRADO PARA TERMINACION DE EMBARAZO
69.02|DILATACION Y LEGRADO DESPUES DE PARTO O ABORTO
69.09|OTRA DILATACION Y LEGRADO
69.1|EXCISION/DESTRUCCION LESION O TEJIDO UTERO Y ESTRUCTURA SOPO
69.19|OTRA INCISION O DESTRUCCION DE UTERO Y ESTRUCTURAS DE SOPORT
69.2|REPARACION DE ESTRUCTURAS DE SOPORTE DE UTERO
69.21|OPERACION DE INTERPOSICION
69.22|OTRA SUSPENSION UTERINA
69.23|REPARACION VAGINAL DE INVERSION CRONICA DE UTERO
69.29|OTRA REPARACION DE UTERO Y ESTRUCTURAS DE SOPORTE
69.3|DENERVACION UTERINA PARACERVICAL
69.4|REPARACION UTERINA
69.41|SUTURA DE DESGARRO DE UTERO
69.42|CIERRE DE FISTULA DE UTERO
69.49|OTRA REPARACION DE UTERO
69.5|LEGRADO POR ASPIRACION DE UTERO
69.51|LEGRADO POR ASPIRACION DE UTERO PARA TERMINACION DE EMBARAZO
69.52|LEGRADO POR ASPIRACION DESPUES DE PARTO O ABORTO
69.59|OTRO LEGRADO POR ASPIRACION DE UTERO
69.6|EXTRACCION O REGULACION MENSTRUAL
69.7|INSERCION DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO
69.9|OTRAS OPERACIONES SOBRE UTERO, CUELLO Y ESTRUCTURAS DE APOYO
69.91|INSERCION DE DISPOSITIVO TERAPEUTICO EN UTERO
69.92|INSEMINACION ARTIFICIAL
69.93|INSERCION DE LAMINARIA
69.94|REPOSICION MANUAL DE UTERO INVERTIDO
69.95|INCISION DE CUELLO
69.96|EXTRACCION DE MATERIAL DE CERCLAJE DE CUELLO
69.97|EXTRACCION DE OTRO CUERPO EXTRAÐO PENETRANTE DEL CUELLO UTER
69.98|OTRAS OPERACIONES SOBRE ESTRUCTURAS DE SOPORTE DE UTERO
69.99|OTRAS OPERACIONES SOBRE CUELLO UTERINO Y UTERO
70|OPERACIONES SOBRE VAGINA Y FONDO DE SACO
70.0|CULDOCENTESIS
70.1|INCISION DE VAGINA Y DE FONDO DE SACO
70.11|HIMENOTOMIA
70.12|DOUGLASTOMIA-CULDOTOMIA
70.13|LISIS DE ADHERENCIAS VAGINALES INTRALUMINALES
70.14|OTRA VAGINOTOMIA
70.2|PROCEDIMIENTOS DIAGNOSTICOS SOBRE VAGINA Y FONDO DE SACO
70.21|VAGINOSCOPIA
70.22|CULDOSCOPIA
70.23|BIOPSIA DE FONDO DE SACO
70.24|BIOPSIA VAGINAL
70.29|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE VAGINA Y FONDO DE SA
70.3|EXCISION LOCAL O DESTRUCCION DE VAGINA Y FONDO DE SACO
70.31|HIMENECTOMIA
70.32|EXCISION O DESTRUCCION DE LESION DE FONDO DE SACO
70.33|EXCISION O DESTRUCION DE LESION DE VAGINA
70.4|OBLITERACION Y EXCISION TOTAL DE VAGINA
70.5|REPARACION DE CISTOCELE Y RECTOCELE
70.50|REPARACION DE CISTOCELE Y RECTOCELE
70.51|REPARACION DE CISTOCELE
70.52|REPARACION DE RECTOCELE
70.6|CONSTRUCCION Y RECONSTRUCCION VAGINALES
70.61|CONSTRUCCION VAGINAL (CREACION DE UNA NEOVAGINA)
70.62|RECONSTRUCCION VAGINAL
70.7|OTRA REPARACION DE VAGINA
70.71|SUTURA DE DESGARRO DE VAGINA
70.72|REPARACION DE FISTULA COLOVAGINAL
70.73|REPARACION DE FISTULA RECTOVAGINAL
70.74|REPARACION DE OTRA FISTULA VAGINOENTERICA
70.75|REPARACION DE OTRA FISTULA DE VAGINA
70.76|HIMENORRAFIA
70.77|SUSPENSION Y FIJACION VAGINALES
70.79|OTRA REPARACION DE VAGINA
70.8|OBLITERACION DE BOVEDA VAGINAL
70.9|OTRAS OPERACIONES SOBRE VAGINA Y FONDO DE SACO
70.91|OTRAS OPERACIONES SOBRE VAGINA
70.92|OTRAS OPERACIONES SOBRE FONDO DE SACO
71|OPERACIONES DOBRE VULVA Y PERINEO
71.0|INCISION DE VULVA Y PERINEO
71.01|LISIS DE ADHERENCIAS VULVARES
71.09|OTRA INCISION DE VULVA Y PERINE
71.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE VULVA
71.11|BIOPSIA DE VULVA
71.19|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE VULVA
71.2|OPERACIONES SOBRE GLANDULA DE BARTHOLIN
71.21|ASPIRACION PERCUTANEA DE GLANDULA DE BARTHOLIN (QUISTE)
71.22|INCISION DE GLANDULA DE BARTHOLIN (QUISTE)
71.23|MARSUPIALIZACION DE GLANDULA DE BARTHOLIN (QUISTE)
71.24|EXCISION U OTRA DESTRCCION DE GLANDULA DE BARTHOLIN (QUISTE)
71.29|OTRAS OPERACIONES SOBRE GLANDULAS DE BARTHOLIN
71.3|OTRA EXCISION LOCAL O DESTRUCCION DE VULVA Y PERINEO
71.4|OPERACIONES SOBRE CLITORIS
71.5|VULVECTOMIA RADICAL
71.6|OTRA VULVECTOMIA
71.61|VULVECTOMIA UNILATERAL
71.62|VULVECTOMIA BILATERAL
71.7|REPARACION DE VULVA Y PERINEO
71.71|SUTURA DE DESGARRO OBSTETRICO ACTUAL
71.72|REPARACION DE FISTULA DE VULVA O PERINEO
71.79|OTRA REPARACION DE VULVA Y PERINE
71.8|OTRAS OPERACIONES SOBRE VULVA
71.9|OTRAS OPERACIONES SOBRE ORGANOS GENITALES FEMENINOS
72|FORCEPS, VENTOSA Y PRESENTACION DE NALGAS
72.0|OPERACION DE FORCEPS BAJO
72.1|OPERACION DE FORCEPS BAJO CON EPISIOTOMIA
72.2|OPERACION DE FORCEPS MEDIO
72.21|OPERACION DE FORCEPS MEDIO CON EPISIOTOMIA
72.29|OTRA OPERACION DE FORCEPS MEDIO
72.3|OPERACION DE FORCEPS ALTO
72.31|OPERACION DE FORCEPS ALTO CON EPISIOTOMIA
72.39|OTRA OPERACION DE FORCEPS ALTO
72.4|ROTACION MEDIANTE FORCEPS DE LA CABEZA DEL FETO
72.5|EXTRACCION CON PRESENTACION DE NALGAS
72.51|EXTR.PARC.CON PRESET.DE NALGAS POR APLIC.DE FORCEPS CABEZA U
72.52|OTRA EXTRACCION PARCIAL CON PRESENTACION DE NALGAS
72.53|EXTR.TOTAL CON PRESET.DE NALGAS CON APLIC.DE FORCEPS CABEZ U
72.54|OTRA EXTRACCION TOTAL CON PRESENTACION DE NALGAS
72.6|APLICACION DE FORCEPS A CABEZA ULTIMA
72.7|EXTRACCION CON VENTOSA
72.71|EXTRACCION MEDIANTE VENTOSA CON EPISIOTOMIA
72.79|OTRA EXTRACCION MEDIANTE VENTOSA
72.8|OTRO PARTO INSTRUMENTAL ESPECIFICADO
72.9|PARTO INSTRUMENTAL NO ESPECIFICADO
73|OTROS PROCEDIMIENTOS PARA INDUCCION O ASISTENCIA AL PARTO
73.0|RUPTURA ARTIFICIAL DE MEMBRANAS
73.01|INDUCCION DEL PARTO POR RUPTURA ARTIFICIAL DE MEMBRANAS
73.09|OTRA RUPTURA ARTIFICIAL DE MEMBRANAS
73.1|OTRA INDUCCION QUIRURGICA DE PARTO
73.2|VERSION INTERNA Y COMBINADA Y EXTRACCION
73.21|VERSION INTERNA Y COMBINADA SIN EXTRACCION
73.22|VERSION INTERNA Y COMBINADA CON EXTRACCION
73.3|OPERACION DE FORCEPS FALLIDA
73.4|INDUCCION MEDICA DE PARTO
73.5|PARTO ASISTIDO MANUALMENTE
73.51|ROTACION MANUAL DE CABEZA DE FETO
73.59|OTRO PARTO ASISTIDO MANUALMENTE
73.6|EPISIOTOMIA
73.8|OPERACIONES SOBRE FETO PARA FACILITAR EL PARTO
73.9|OTRAS OPERACIONES DE ASISTENCIA AL PARTO
73.91|VERSION EXTERNA
73.92|REPOSICION DE CORDON UMBILICAL PROLAPSADO
73.93|INCISION DE CUELLO UTERINO PARA ASISTIR AL PARTO
73.94|PUBIOTOMIA PARA SISTIR AL PARTO
73.99|OTRA OPERACION DE ASISTENCIA AL PARTO NCOC
74|CESAREA Y EXTRACCION DE FETO
74.0|CESAREA CLASICA
74.1|CESAREA CERVICAL BAJA
74.2|CESAREA EXTRAPERITONEAL
74.3|EXTRACCION DE EMBRION INTRAPERITONEAL
74.4|CESAREA DE OTRO TIPO ESPECIFICADO
74.9|CESAREA DE TIPO NO ESPECIFICADO
74.91|HISTEROTOMIA PARA TERMINAR EMBARAZO
74.99|OTRA CESAREA DE TIPO NO ESPECIFICADO
75|OTRAS OPERACIONES OBSTETRICAS
75.0|INYECCION INTRA-AMNIOTICA PARA PRODUCIR ABORTO
75.1|AMNIOCENTESIS DIAGNOSTICA
75.2|TRANSFUSION INTRAUTERINA
75.3|OTRAS OPERACIONES INTRAUTERINAS SOBRE FETO Y AMNIOS
75.31|AMNIOSCOPIA
75.32|ELECTROCARDIOGRAMA FETAL (CUERO CABELLUDO)
75.33|BIOPSIA Y TOMA DE SANGRE FETAL
75.34|OTRA REVISIÓN FETAL
75.35|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE FETO Y AMNIOS
75.36|CORRECCION DE DEFECTO FETAL
75.37|AMNIOINFUSIÓN
75.38|PULSIOXIMETRÍA FETAL
75.4|EXTRACCION MANUAL DE PLACENTA RETENIDA
75.5|REPARACION DE DESGARRO OBSTETRICO ACTUAL DE UTERO
75.50|REPARACION DE DESGARRO OBSTETRICO ACTUAL DE UTERO, N. E. O.
75.51|REPARACION DE DESGARRO OBSTETRICO ACTUAL DE CUELLO UTERINO
75.52|REPARACION DE DESGARRO OBSTETRICO ACTUAL DE CUERPO UTERINO
75.6|REPARACION DE OTRO DESGARRO OBSTETRICO ACTUAL
75.61|REPARACION DE DESGARRO OBSTETRICO ACTUAL DE VEJIGA Y URETRA
75.62|REPAR. DE DESGARRO OBSTETRICO ACTUAL DE RECTO Y ESFINTER ANO
75.69|REPARACION DE OTRO DESGARRO OBSTETRICO
75.7|EXPLORACION MANUAL DE LA CAVIDAD UTERINA, DESPUES DEL PARTO
75.8|TAPONAMIENTO OBSTETRICO DE UTERO O VAGINA
75.9|OTRAS OPERACIONES OBSTETRICAS
75.91|EVACUACION DE HEMATOMA POR INCISION OBSTETRICA DE PERINE
75.92|EVACUACION DE OTRO HEMATOMA DE VULVA O VAGINA
75.93|CORRECCION QUIRURGICA DE UTERO INVERTIDO
75.94|REPOSICION MANUAL DE UTERO INVERTIDO
75.99|OTRAS OPERACIONES OBSTETRICAS NCOC
76|OPERACIONES SOBRE HUESOS Y ARTICULACIONES FACIALES
76.0|INCISION DE HUESO FACIAL SIN DIVISION
76.01|SECUESTRECTOMIA DE HUESO FACIAL
76.09|OTRA INCISION DE HUESO FACIAL
76.1|PROCEDIMIENTOS DIAGNOST. SOBRE HUESOS/ARTICULACIONES FACIAL
